,orig.ident,nCount_RNA,nFeature_RNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,n_genes,leiden,Celltype
BC04BLOOD3_84605,31,1631.7810232639313,659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659,0,CD4Tn
BC04BLOOD3_84610,31,1484.7013897895813,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,0,CD4Tn
BC04BLOOD3_84612,31,1534.0890879631042,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,0,CD4Tn
BC04BLOOD3_84619,31,1587.8890290260315,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614,0,CD4Tn
BC04BLOOD3_84626,31,1422.6718435287476,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531,0,CD4Tn
BC04BLOOD3_84628,31,1565.8262548446655,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,0,CD4Tn
BC04BLOOD3_84629,31,1627.7253921031952,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654,0,CD4Tn
BC04BLOOD3_84630,31,1607.5172424316406,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,0,CD4Tn
BC04BLOOD3_84637,31,1692.2142428159714,725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,0,CD4Tn
BC04BLOOD3_84638,31,1618.2812848091125,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,764,0,CD4Tn
BC04BLOOD3_84652,31,1579.361270904541,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663,0,CD4Tn
BC04BLOOD3_84662,31,1398.3401110172272,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,0,CD4Tn
BC04BLOOD3_84663,31,1669.686083316803,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,0,CD4Tn
BC04BLOOD3_84671,31,1553.0450829267502,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660,0,CD4Tn
BC04BLOOD3_84672,31,1525.1548120975494,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593,0,CD4Tn
BC04BLOOD3_84677,31,1708.4180636405945,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663,0,CD4Tn
BC04BLOOD3_84689,31,1652.4982151985168,693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693,0,CD4Tn
BC04BLOOD3_84724,31,1576.2008662223816,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633,0,CD4Tn
BC04BLOOD3_84729,31,1506.996322631836,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,0,CD4Tn
BC04BLOOD3_84736,31,1494.2644414901733,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564,0,CD4Tn
BC04BLOOD3_84740,31,1459.8206663131714,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571,0,CD4Tn
BC04BLOOD3_84742,31,1422.675897359848,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,0,CD4Tn
BC04BLOOD3_84745,31,1536.9020731449127,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,0,CD4Tn
BC04BLOOD3_84749,31,1493.36346077919,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619,0,CD4Tn
BC04BLOOD3_84753,31,1840.9659407138824,867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867,0,CD4Tn
BC04BLOOD3_84754,31,1488.0415723323822,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,0,CD4Tn
BC04BLOOD3_84766,31,1532.1141226291656,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,598,0,CD4Tn
BC04BLOOD3_84767,31,1417.3679959774017,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,0,CD4Tn
BC04BLOOD3_84770,31,1472.819016456604,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,0,CD4Tn
