,orig.ident,nCount_RNA,nFeature_RNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,n_genes,leiden,Celltype
BC04BLOOD4_218,32,1516.854320049286,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,15,B
BC04BLOOD4_272,32,1509.2908656597137,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,15,B
BC04BLOOD4_290,32,1541.3994381427765,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,15,B
BC04BLOOD4_340,32,1520.388002872467,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,15,B
BC04BLOOD4_498,32,1763.4146173000336,712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712,15,B
BC04BLOOD4_715,32,1495.8752546310425,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578,15,B
BC04BLOOD4_962,32,1545.467123746872,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596,15,B
BC04BLOOD4_991,32,1560.4255285263062,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637,15,B
BC04BLOOD4_1052,32,1364.1599717140198,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,15,B
BC04BLOOD4_1096,32,1696.1752636432648,698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,15,B
BC04BLOOD4_1154,32,1560.3519923686981,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,15,B
BC04BLOOD4_1245,32,1683.7843158245087,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676,15,B
BC04BLOOD4_1283,32,1480.4258811473846,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780,10,B
BC04BLOOD4_1545,32,1539.5677602291107,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,15,B
BC04BLOOD4_1613,32,1817.9539341926575,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,15,B
BC04BLOOD4_2058,32,1431.010953426361,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,15,B
BC04BLOOD4_2161,32,1673.1702568531036,677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,677,15,B
BC04BLOOD4_2223,32,1675.1926701068878,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660,15,B
BC04BLOOD4_2272,32,1674.189258813858,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654,15,B
BC04BLOOD4_2337,32,1692.5154359340668,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728,15,B
BC04BLOOD4_2755,32,1681.3782844543457,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742,15,B
BC04BLOOD4_2759,32,1721.1185746192932,731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,15,B
BC04BLOOD4_2802,32,1748.5760986804962,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,15,B
BC04BLOOD4_2860,32,1499.8134009838104,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,15,B
BC04BLOOD4_2975,32,1424.5779650211334,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532,15,B
BC04BLOOD4_2989,32,1738.314829826355,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738,15,B
BC04TUMOR1_5468,36,1752.7550294399261,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,15,B
BC04TUMOR1_5600,36,1876.1044573783875,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,5,B
BC04TUMOR1_6013,36,1429.26518201828,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555,10,B
BC04TUMOR1_6039,36,1707.358423948288,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,10,B
BC04TUMOR1_6170,36,1374.4806191921234,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,15,B
BC04TUMOR1_6294,36,1951.8454744815826,898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,898,15,B
BC04TUMOR6_10996,41,1543.3415851593018,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587,10,B
BC04TUMOR6_11959,41,1589.8348670005798,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,10,B
BC04TUMOR6_12606,41,1774.4337973594666,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734,15,B
BC04TUMOR6_12816,41,1616.3823006153107,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628,15,B
BC04BLOOD6_17025,34,1798.159515619278,773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,773,15,B
BC04BLOOD6_17033,34,1348.7415840625763,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502,15,B
BC04BLOOD6_17041,34,1560.2703759670258,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,15,B
BC04BLOOD6_17069,34,1464.5899031162262,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,15,B
BC04BLOOD6_17074,34,2249.5189530849457,1141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1141,5,B
BC04BLOOD6_17128,34,1398.5235283374786,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522,15,B
BC04BLOOD6_17215,34,1379.4585831165314,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,15,B
BC04BLOOD6_17255,34,1441.00501537323,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,15,B
BC04BLOOD6_17319,34,1359.0926592350006,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,15,B
BC04BLOOD6_17370,34,1533.422658443451,599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599,15,B
BC04BLOOD6_17371,34,1491.243331193924,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581,15,B
BC04BLOOD6_17410,34,1587.9250535964966,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,15,B
BC04BLOOD6_17452,34,1492.3481481075287,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,15,B
BC04BLOOD6_17513,34,1374.4304237365723,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,15,B
BC04BLOOD6_17558,34,1741.8403792381287,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,15,B
BC04BLOOD6_17586,34,1528.3479979038239,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,15,B
BC04BLOOD6_17747,34,1392.331123828888,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,15,B
BC04BLOOD6_17754,34,1924.9824610948563,915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,915,15,B
BC04BLOOD6_17769,34,2076.8154633045197,975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975,15,B
BC04BLOOD6_17810,34,2019.2841067314148,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949,15,B
BC04BLOOD6_17824,34,1567.2623176574707,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,15,B
BC04BLOOD6_17861,34,1404.1312839984894,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,15,B
BC04BLOOD6_17943,34,1636.6613025665283,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664,15,B
BC04BLOOD6_17967,34,1730.2912130355835,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749,15,B
BC04BLOOD6_17972,34,1788.40269780159,755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,15,B
BC04BLOOD6_17986,34,1610.6325054168701,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,15,B
BC04BLOOD6_18018,34,1544.104768037796,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,15,B
BC04BLOOD6_18035,34,1477.851643562317,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,15,B
BC04BLOOD6_18102,34,1749.3407175540924,731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,15,B
BC04BLOOD6_18154,34,1417.311369419098,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548,15,B
BC04BLOOD6_18185,34,1770.6491165161133,848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848,15,B
BC04BLOOD6_18302,34,1734.2108771800995,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728,15,B
BC04BLOOD6_18314,34,1643.7790966033936,665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665,15,B
BC04BLOOD6_18317,34,1897.5829944610596,881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,881,15,B
BC04BLOOD6_18320,34,1492.0155987739563,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,15,B
BC04BLOOD6_18321,34,1490.67613363266,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,15,B
BC04BLOOD6_18343,34,1859.8979380130768,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796,15,B
BC04BLOOD6_18360,34,1433.0487670898438,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543,15,B
BC04BLOOD6_18388,34,1603.4771964550018,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656,15,B
BC04BLOOD6_18417,34,1865.479553103447,869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869,15,B
BC04BLOOD6_18422,34,1708.9112524986267,763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,763,15,B
BC04BLOOD6_18427,34,1381.29878616333,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509,15,B
BC04BLOOD6_18490,34,1520.9033262729645,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,15,B
BC04BLOOD6_18592,34,1882.3060657978058,921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,921,15,B
BC04BLOOD6_18606,34,1413.9144792556763,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,15,B
BC04BLOOD6_18674,34,1675.1933085918427,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,15,B
BC04BLOOD6_18726,34,1864.1832535266876,768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,15,B
BC04BLOOD6_18747,34,1410.0793294906616,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522,15,B
BC04BLOOD6_18771,34,1790.2441890239716,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,15,B
BC04BLOOD6_18870,34,1406.036970615387,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,15,B
BC04BLOOD6_18891,34,1453.148386478424,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549,15,B
BC04BLOOD6_18900,34,1583.7630043029785,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,15,B
BC04BLOOD6_18906,34,2123.748081922531,1146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146,15,B
BC04BLOOD6_19017,34,1597.5539045333862,653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653,15,B
BC04BLOOD6_19021,34,1761.0870187282562,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765,15,B
BC04BLOOD6_19043,34,1608.3737423419952,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622,15,B
BC04BLOOD6_19092,34,1649.7032961845398,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663,15,B
BC04BLOOD6_19101,34,1410.10817360878,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542,15,B
BC04BLOOD6_19120,34,1605.9556276798248,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,15,B
BC04BLOOD6_19161,34,1728.5032045841217,801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,15,B
BC04BLOOD6_19258,34,1596.155949831009,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,5,B
BC04BLOOD6_19267,34,1665.0393590927124,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,15,B
BC04BLOOD6_19296,34,1593.9745843410492,671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671,15,B
BC04BLOOD6_19300,34,1775.0035877227783,762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,15,B
BC04BLOOD6_19312,34,1366.2988069057465,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,15,B
BC04BLOOD6_19362,34,1578.1312441825867,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654,15,B
BC04BLOOD6_19527,34,1638.6195311546326,673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673,15,B
BC04BLOOD6_19536,34,1655.384309053421,729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729,15,B
BC04BLOOD6_19545,34,1680.513580083847,678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678,15,B
BC04BLOOD6_19558,34,1486.6590571403503,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,15,B
BC04BLOOD6_19604,34,1414.8045690059662,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,15,B
BC04BLOOD6_19609,34,1501.306470632553,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,15,B
BC04BLOOD6_19645,34,1478.7797677516937,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,15,B
BC04BLOOD6_19677,34,1668.3633484840393,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656,15,B
BC04BLOOD6_19726,34,2047.0087566375732,981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,15,B
BC04BLOOD6_19746,34,1474.116286277771,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,15,B
BC04BLOOD6_19749,34,1455.2719521522522,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562,15,B
BC04BLOOD6_19759,34,1506.0251932144165,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,15,B
BC04BLOOD6_19762,34,1684.798328757286,724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724,15,B
BC04BLOOD6_19835,34,1385.927500963211,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,15,B
BC04BLOOD6_19841,34,1526.0428352355957,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,15,B
BC04BLOOD6_19887,34,1764.5027294158936,722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722,15,B
BC04BLOOD6_19903,34,1796.5268115997314,802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802,15,B
BC04BLOOD6_19908,34,1601.9483876228333,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657,15,B
BC04BLOOD6_19913,34,1464.811531305313,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,15,B
BC04BLOOD6_19917,34,1860.234783411026,871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871,15,B
BC04BLOOD6_19921,34,1457.4103562831879,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,15,B
BC04BLOOD6_19996,34,1475.4594180583954,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,15,B
BC04BLOOD6_20014,34,1517.9981923103333,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,15,B
BC04BLOOD6_20042,34,1600.7296481132507,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657,15,B
BC04BLOOD6_20045,34,1516.43705868721,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,15,B
BC04BLOOD6_20171,34,1825.4657835960388,812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,15,B
BC04BLOOD6_20181,34,1388.300120830536,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,15,B
BC04BLOOD6_20203,34,1783.154019355774,746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746,15,B
BC04BLOOD6_20213,34,1594.2487058639526,674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674,15,B
BC04BLOOD6_20277,34,1406.5431988239288,529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529,15,B
BC04BLOOD6_20376,34,1408.7200136184692,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,15,B
BC04BLOOD6_20393,34,1441.1457316875458,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,15,B
BC04BLOOD6_20409,34,1590.6436326503754,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,15,B
BC04BLOOD6_20463,34,1374.2203226089478,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,15,B
BC04BLOOD6_20501,34,1464.1244058609009,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,15,B
BC04BLOOD6_20514,34,1542.8431837558746,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,15,B
BC04BLOOD6_20523,34,1645.9570039510727,719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719,15,B
BC04BLOOD6_20533,34,1554.7010822296143,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,15,B
BC04BLOOD6_20583,34,1580.9426250457764,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668,15,B
BC04BLOOD6_20621,34,1509.474553823471,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,15,B
BC04BLOOD6_20642,34,2149.8690608739853,1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1084,15,B
BC04TUMOR2_20799,37,1448.5548248291016,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548,14,B
BC04TUMOR2_21247,37,1662.6085860729218,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655,14,B
BC04TUMOR2_21340,37,1403.4671049118042,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,14,B
BC04TUMOR2_22617,37,1466.7228568792343,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796,16,B
BC04TUMOR2_22787,37,1383.5771754980087,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,5,B
BC04TUMOR4_24268,39,1931.1376079320908,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,5,B
BC04TUMOR4_24316,39,2324.9057652950287,1306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1306,2,B
BC04TUMOR4_24320,39,1764.718893289566,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742,5,B
BC04TUMOR4_25132,39,1671.2530150413513,648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648,15,B
BC04TUMOR4_25491,39,1401.989634513855,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,10,B
BC04TUMOR4_25600,39,1902.4955160617828,837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,837,15,B
BC04TUMOR4_25735,39,1537.2386319637299,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,10,B
BC04TUMOR4_25738,39,2127.0182523727417,1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525,5,B
BC04TUMOR4_25773,39,1567.5997278690338,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622,15,B
BC04TUMOR4_25830,39,1330.8362884521484,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586,10,B
BC04TUMOR4_26346,39,2011.2538667917252,897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897,15,B
BC04TUMOR3_26782,38,1773.328604221344,985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,985,5,B
BC04TUMOR3_27137,38,1555.328675031662,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,15,B
BC04TUMOR3_27779,38,1638.9167330265045,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,15,B
BC04TUMOR3_28425,38,1771.9915792942047,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738,15,B
BC04TUMOR3_28737,38,1523.9841253757477,599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599,10,B
BC04TUMOR3_28757,38,1941.5986988544464,835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835,15,B
BC04TUMOR3_28824,38,1969.6351653337479,1302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1302,5,B
BC04BLOOD2_32646,30,1875.9270293712616,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,15,B
BC04BLOOD2_32647,30,1480.587383031845,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565,15,B
BC04BLOOD2_32658,30,1962.7027164697647,889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,889,15,B
BC04BLOOD2_32660,30,1741.7147867679596,744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,15,B
BC04BLOOD2_32847,30,1676.5680446624756,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,15,B
BC04BLOOD2_32920,30,1982.6008279323578,1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054,15,B
BC04BLOOD2_32932,30,1793.8281607627869,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765,5,B
BC04BLOOD2_32956,30,1385.8963322639465,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,15,B
BC04BLOOD2_32960,30,1856.321943283081,797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797,15,B
BC04BLOOD2_32977,30,1677.2671265602112,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,15,B
BC04BLOOD2_33048,30,1768.1113080978394,761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761,15,B
BC04BLOOD2_33062,30,1853.8903999328613,829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,829,15,B
BC04BLOOD2_33084,30,1762.5860884189606,843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843,15,B
BC04BLOOD2_33139,30,2087.344818353653,941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941,15,B
BC04BLOOD2_33146,30,1646.7269473075867,666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,15,B
BC04BLOOD2_33155,30,1583.7451808452606,693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693,15,B
BC04BLOOD2_33190,30,1892.80571103096,823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,823,15,B
BC04BLOOD2_33249,30,1467.3498146533966,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,15,B
BC04BLOOD2_33254,30,1454.3314278125763,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,15,B
BC04BLOOD2_33274,30,1504.3273622989655,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596,15,B
BC04BLOOD2_33293,30,1555.068423986435,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,15,B
BC04BLOOD2_33299,30,1470.018391609192,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563,15,B
BC04BLOOD2_33390,30,1537.0332446098328,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579,15,B
BC04BLOOD2_33421,30,1550.970065355301,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,15,B
BC04BLOOD2_33523,30,1658.90869140625,687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687,15,B
BC04BLOOD2_33525,30,1547.8778364658356,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612,15,B
BC04BLOOD2_33560,30,1428.809298992157,731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,15,B
BC04BLOOD2_33602,30,1392.7707023620605,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,15,B
BC04BLOOD2_33628,30,1640.8996233940125,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,15,B
BC04BLOOD2_33685,30,1479.2138397693634,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555,15,B
